NF;Status;Cliente;CNPJ;Cidade;UF;RC;Coordenador;Transportadora;Analista;Data_Faturamento;Data_Agendada;SLA_Dias;Tempo_Parado_Dias;Observacoes
185965;Reagendada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0043;Ricardo;Rodonaves;Gabriel;17/05/2026;28/05/2026;11;5;Registro fictício para testes
850981;Entregue;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0016;Ana;Patrus;Fernanda;26/04/2026;08/05/2026;12;10;Registro fictício para testes
888387;Aguardando cliente;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0001;Ana;Rodonaves;Gabriel;25/03/2026;01/04/2026;7;1;Registro fictício para testes
630458;Em transporte;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0009;Ana;JSL;Fernanda;15/03/2026;20/03/2026;5;5;Registro fictício para testes
974244;Crítica;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0046;Ana;Rodonaves;Gabriel;02/05/2026;11/05/2026;9;0;Registro fictício para testes
208618;Agendada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0017;Marcos;JSL;Gabriel;14/04/2026;26/04/2026;12;2;Registro fictício para testes
320861;Entregue;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0014;Ricardo;Tegma;Gabriel;16/04/2026;27/04/2026;11;7;Registro fictício para testes
765095;Reagendada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0018;Marcos;JSL;Bruno;16/05/2026;19/05/2026;3;2;Registro fictício para testes
563298;Crítica;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0046;Ana;Rodonaves;Pedro;02/05/2026;15/05/2026;13;1;Registro fictício para testes
672092;Faturada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0024;Ricardo;Rodonaves;Fernanda;23/02/2026;27/02/2026;4;6;Registro fictício para testes
482364;Faturada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0023;Marcos;Braspress;Pedro;17/05/2026;23/05/2026;6;5;Registro fictício para testes
885884;Agendada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0016;Marcos;Braspress;Amanda;31/03/2026;11/04/2026;11;0;Registro fictício para testes
531712;Confirmada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0018;Marcos;JSL;Amanda;10/04/2026;24/04/2026;14;0;Registro fictício para testes
956253;Atrasada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0023;Ana;Braspress;Fernanda;24/04/2026;29/04/2026;5;0;Registro fictício para testes
392136;Aguardando cliente;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0050;Ana;Tegma;Gabriel;01/04/2026;08/04/2026;7;6;Registro fictício para testes
220944;Em transporte;Obramax;45.991.011/0001-44;São Paulo;SP;RC0012;Ricardo;Tegma;Pedro;10/04/2026;12/04/2026;2;1;Registro fictício para testes
863934;Entregue;Obramax;45.991.011/0001-44;São Paulo;SP;RC0028;Ricardo;Rodonaves;Pedro;28/03/2026;04/04/2026;7;6;Registro fictício para testes
146542;Reagendada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0001;Ricardo;Rodonaves;Fernanda;28/04/2026;04/05/2026;6;5;Registro fictício para testes
446239;Entregue;Carrefour;45.543.915/0001-81;Barueri;SP;RC0043;Marcos;Tegma;Gabriel;14/05/2026;26/05/2026;12;4;Registro fictício para testes
831076;Em transporte;Carrefour;45.543.915/0001-81;Barueri;SP;RC0036;Marcos;Braspress;Amanda;11/04/2026;19/04/2026;8;10;Registro fictício para testes
282480;Em transporte;Carrefour;45.543.915/0001-81;Barueri;SP;RC0026;Ricardo;JSL;Bruno;25/02/2026;10/03/2026;13;4;Registro fictício para testes
708158;Entregue;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0030;Ana;Patrus;Fernanda;28/03/2026;11/04/2026;14;8;Registro fictício para testes
188914;Em transporte;Carrefour;45.543.915/0001-81;Barueri;SP;RC0033;Ricardo;Rodonaves;Bruno;01/05/2026;13/05/2026;12;1;Registro fictício para testes
335552;Confirmada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0010;Marcos;JSL;Fernanda;25/02/2026;03/03/2026;6;7;Registro fictício para testes
534572;Confirmada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0046;Ricardo;Patrus;Amanda;13/05/2026;22/05/2026;9;6;Registro fictício para testes
821024;Faturada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0049;Marcos;Patrus;Fernanda;04/05/2026;16/05/2026;12;2;Registro fictício para testes
684482;Confirmada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0008;Ana;Braspress;Amanda;24/03/2026;26/03/2026;2;10;Registro fictício para testes
432711;Atrasada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0040;Ricardo;Rodonaves;Amanda;12/03/2026;23/03/2026;11;8;Registro fictício para testes
597732;Atrasada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0017;Marcos;Tegma;Gabriel;02/05/2026;15/05/2026;13;7;Registro fictício para testes
181247;Em transporte;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0016;Ana;Tegma;Bruno;17/04/2026;26/04/2026;9;8;Registro fictício para testes
342495;Reagendada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0045;Marcos;Braspress;Pedro;05/05/2026;09/05/2026;4;6;Registro fictício para testes
588557;Reagendada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0004;Marcos;Patrus;Amanda;10/04/2026;20/04/2026;10;9;Registro fictício para testes
600149;Faturada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0023;Ana;Patrus;Amanda;10/03/2026;18/03/2026;8;8;Registro fictício para testes
611945;Confirmada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0018;Ana;Patrus;Pedro;06/03/2026;11/03/2026;5;6;Registro fictício para testes
936912;Reagendada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0047;Marcos;Patrus;Fernanda;26/02/2026;10/03/2026;12;9;Registro fictício para testes
720644;Faturada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0006;Ricardo;Patrus;Fernanda;19/05/2026;27/05/2026;8;7;Registro fictício para testes
497519;Entregue;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0014;Ana;Tegma;Bruno;16/05/2026;22/05/2026;6;6;Registro fictício para testes
975467;Aguardando cliente;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0031;Marcos;Rodonaves;Pedro;30/03/2026;05/04/2026;6;5;Registro fictício para testes
919182;Faturada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0049;Marcos;Braspress;Fernanda;28/02/2026;03/03/2026;3;0;Registro fictício para testes
232352;Atrasada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0043;Marcos;Rodonaves;Fernanda;03/05/2026;08/05/2026;5;7;Registro fictício para testes
735324;Aguardando cliente;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0050;Marcos;Tegma;Pedro;05/04/2026;09/04/2026;4;9;Registro fictício para testes
810250;Reagendada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0026;Ricardo;Braspress;Pedro;13/04/2026;24/04/2026;11;9;Registro fictício para testes
910004;Em transporte;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0044;Ricardo;JSL;Gabriel;09/05/2026;22/05/2026;13;0;Registro fictício para testes
793655;Entregue;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0005;Ricardo;Tegma;Pedro;15/03/2026;23/03/2026;8;6;Registro fictício para testes
479781;Atrasada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0046;Marcos;Patrus;Fernanda;09/05/2026;17/05/2026;8;8;Registro fictício para testes
664315;Atrasada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0030;Ana;Rodonaves;Bruno;05/03/2026;19/03/2026;14;5;Registro fictício para testes
572700;Confirmada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0049;Ana;Rodonaves;Gabriel;11/05/2026;17/05/2026;6;10;Registro fictício para testes
618317;Entregue;Carrefour;45.543.915/0001-81;Barueri;SP;RC0012;Ana;Braspress;Bruno;09/04/2026;11/04/2026;2;4;Registro fictício para testes
835244;Em transporte;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0036;Marcos;Rodonaves;Fernanda;17/04/2026;28/04/2026;11;1;Registro fictício para testes
682144;Confirmada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0045;Ana;Patrus;Amanda;31/03/2026;09/04/2026;9;0;Registro fictício para testes
524045;Confirmada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0020;Ricardo;Rodonaves;Bruno;15/04/2026;20/04/2026;5;7;Registro fictício para testes
546173;Crítica;Obramax;45.991.011/0001-44;São Paulo;SP;RC0022;Ana;Patrus;Bruno;16/03/2026;23/03/2026;7;4;Registro fictício para testes
856321;Confirmada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0021;Marcos;Rodonaves;Fernanda;23/04/2026;26/04/2026;3;3;Registro fictício para testes
859782;Crítica;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0039;Ana;JSL;Fernanda;22/03/2026;28/03/2026;6;4;Registro fictício para testes
416950;Faturada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0046;Ricardo;Braspress;Bruno;06/04/2026;10/04/2026;4;0;Registro fictício para testes
831295;Agendada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0041;Ana;JSL;Pedro;13/03/2026;19/03/2026;6;9;Registro fictício para testes
561865;Entregue;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0012;Marcos;Tegma;Amanda;23/03/2026;01/04/2026;9;1;Registro fictício para testes
177680;Faturada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0010;Marcos;Rodonaves;Bruno;01/04/2026;10/04/2026;9;1;Registro fictício para testes
901577;Reagendada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0039;Ricardo;Rodonaves;Fernanda;07/05/2026;17/05/2026;10;8;Registro fictício para testes
411797;Reagendada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0020;Ricardo;Rodonaves;Pedro;26/03/2026;04/04/2026;9;9;Registro fictício para testes
321275;Em transporte;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0043;Marcos;Braspress;Fernanda;26/04/2026;08/05/2026;12;2;Registro fictício para testes
102805;Reagendada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0029;Ricardo;Rodonaves;Amanda;13/05/2026;17/05/2026;4;4;Registro fictício para testes
841296;Em transporte;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0045;Ana;JSL;Fernanda;23/04/2026;29/04/2026;6;4;Registro fictício para testes
307428;Reagendada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0008;Ricardo;Braspress;Fernanda;27/02/2026;13/03/2026;14;4;Registro fictício para testes
273982;Em transporte;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0039;Ricardo;Rodonaves;Bruno;13/05/2026;15/05/2026;2;7;Registro fictício para testes
418862;Reagendada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0018;Ricardo;Rodonaves;Amanda;24/03/2026;06/04/2026;13;7;Registro fictício para testes
553014;Entregue;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0039;Ana;JSL;Pedro;07/03/2026;09/03/2026;2;3;Registro fictício para testes
901909;Em transporte;Obramax;45.991.011/0001-44;São Paulo;SP;RC0037;Marcos;Braspress;Amanda;08/03/2026;10/03/2026;2;8;Registro fictício para testes
713762;Reagendada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0041;Ana;JSL;Amanda;17/04/2026;21/04/2026;4;5;Registro fictício para testes
802685;Aguardando cliente;Carrefour;45.543.915/0001-81;Barueri;SP;RC0011;Ana;Patrus;Amanda;10/04/2026;17/04/2026;7;4;Registro fictício para testes
576919;Aguardando cliente;Carrefour;45.543.915/0001-81;Barueri;SP;RC0021;Ana;Tegma;Pedro;13/03/2026;15/03/2026;2;6;Registro fictício para testes
668950;Atrasada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0027;Marcos;Braspress;Gabriel;22/05/2026;03/06/2026;12;5;Registro fictício para testes
563513;Faturada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0014;Ana;Rodonaves;Fernanda;20/03/2026;01/04/2026;12;4;Registro fictício para testes
227324;Faturada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0041;Ricardo;Braspress;Fernanda;22/02/2026;03/03/2026;9;4;Registro fictício para testes
527809;Aguardando cliente;Obramax;45.991.011/0001-44;São Paulo;SP;RC0015;Marcos;Patrus;Pedro;21/05/2026;31/05/2026;10;10;Registro fictício para testes
406039;Crítica;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0046;Ana;Patrus;Amanda;20/03/2026;02/04/2026;13;7;Registro fictício para testes
251668;Reagendada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0013;Ricardo;Rodonaves;Fernanda;25/03/2026;04/04/2026;10;1;Registro fictício para testes
925981;Crítica;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0018;Marcos;Tegma;Bruno;30/03/2026;06/04/2026;7;9;Registro fictício para testes
255813;Atrasada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0035;Ana;Tegma;Bruno;27/02/2026;08/03/2026;9;8;Registro fictício para testes
437408;Confirmada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0045;Marcos;Rodonaves;Amanda;04/04/2026;13/04/2026;9;3;Registro fictício para testes
880879;Atrasada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0046;Ana;Patrus;Fernanda;17/05/2026;24/05/2026;7;7;Registro fictício para testes
718849;Entregue;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0007;Ana;JSL;Gabriel;06/05/2026;16/05/2026;10;7;Registro fictício para testes
786587;Agendada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0005;Ana;Tegma;Bruno;04/05/2026;12/05/2026;8;9;Registro fictício para testes
993140;Entregue;Carrefour;45.543.915/0001-81;Barueri;SP;RC0044;Ricardo;Patrus;Bruno;28/02/2026;03/03/2026;3;10;Registro fictício para testes
747453;Aguardando cliente;Carrefour;45.543.915/0001-81;Barueri;SP;RC0016;Ricardo;Tegma;Fernanda;14/03/2026;16/03/2026;2;1;Registro fictício para testes
764532;Aguardando cliente;Carrefour;45.543.915/0001-81;Barueri;SP;RC0029;Marcos;Tegma;Pedro;10/05/2026;24/05/2026;14;0;Registro fictício para testes
475876;Entregue;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0028;Marcos;Braspress;Gabriel;15/05/2026;21/05/2026;6;6;Registro fictício para testes
288803;Agendada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0012;Marcos;Rodonaves;Amanda;24/02/2026;10/03/2026;14;9;Registro fictício para testes
250069;Confirmada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0030;Ricardo;Tegma;Amanda;20/03/2026;31/03/2026;11;4;Registro fictício para testes
810526;Crítica;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0011;Marcos;Patrus;Bruno;24/03/2026;30/03/2026;6;9;Registro fictício para testes
823846;Em transporte;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0030;Ana;Braspress;Amanda;02/03/2026;10/03/2026;8;7;Registro fictício para testes
699704;Entregue;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0037;Ana;Tegma;Pedro;22/04/2026;30/04/2026;8;10;Registro fictício para testes
693419;Faturada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0039;Ricardo;Patrus;Bruno;17/04/2026;19/04/2026;2;3;Registro fictício para testes
767542;Confirmada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0040;Ana;Braspress;Pedro;07/04/2026;12/04/2026;5;10;Registro fictício para testes
562236;Faturada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0038;Ana;Braspress;Pedro;13/04/2026;27/04/2026;14;4;Registro fictício para testes
310548;Agendada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0035;Ana;Rodonaves;Gabriel;30/03/2026;03/04/2026;4;4;Registro fictício para testes
605254;Em transporte;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0048;Ana;JSL;Amanda;20/04/2026;05/05/2026;15;1;Registro fictício para testes
809176;Reagendada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0036;Ana;JSL;Amanda;24/04/2026;09/05/2026;15;0;Registro fictício para testes
576877;Entregue;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0044;Ricardo;Tegma;Gabriel;15/03/2026;18/03/2026;3;6;Registro fictício para testes
345180;Atrasada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0002;Ricardo;Rodonaves;Bruno;09/05/2026;21/05/2026;12;9;Registro fictício para testes
766269;Atrasada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0045;Ana;Patrus;Pedro;01/03/2026;04/03/2026;3;2;Registro fictício para testes
616554;Aguardando cliente;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0007;Marcos;Rodonaves;Fernanda;18/05/2026;24/05/2026;6;6;Registro fictício para testes
879238;Crítica;Carrefour;45.543.915/0001-81;Barueri;SP;RC0027;Ricardo;Braspress;Amanda;05/04/2026;17/04/2026;12;10;Registro fictício para testes
527940;Em transporte;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0003;Ricardo;Tegma;Fernanda;21/03/2026;01/04/2026;11;7;Registro fictício para testes
480303;Aguardando cliente;Carrefour;45.543.915/0001-81;Barueri;SP;RC0044;Ana;Rodonaves;Bruno;22/04/2026;07/05/2026;15;0;Registro fictício para testes
228093;Atrasada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0006;Ricardo;Braspress;Gabriel;17/04/2026;22/04/2026;5;0;Registro fictício para testes
232040;Confirmada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0005;Ricardo;Braspress;Gabriel;10/04/2026;15/04/2026;5;3;Registro fictício para testes
254721;Faturada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0018;Marcos;Braspress;Gabriel;10/04/2026;24/04/2026;14;4;Registro fictício para testes
127032;Agendada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0001;Ana;Braspress;Gabriel;08/05/2026;20/05/2026;12;5;Registro fictício para testes
154944;Agendada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0048;Ana;Rodonaves;Pedro;30/04/2026;06/05/2026;6;1;Registro fictício para testes
479625;Crítica;Carrefour;45.543.915/0001-81;Barueri;SP;RC0038;Marcos;Patrus;Gabriel;26/03/2026;09/04/2026;14;3;Registro fictício para testes
921273;Crítica;Obramax;45.991.011/0001-44;São Paulo;SP;RC0020;Ana;JSL;Pedro;17/05/2026;30/05/2026;13;7;Registro fictício para testes
213206;Atrasada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0046;Ana;JSL;Pedro;29/03/2026;10/04/2026;12;5;Registro fictício para testes
232321;Em transporte;Obramax;45.991.011/0001-44;São Paulo;SP;RC0040;Ricardo;Rodonaves;Gabriel;04/05/2026;07/05/2026;3;5;Registro fictício para testes
409222;Atrasada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0033;Ricardo;Patrus;Pedro;07/03/2026;17/03/2026;10;1;Registro fictício para testes
573489;Confirmada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0027;Ana;Patrus;Amanda;25/04/2026;03/05/2026;8;6;Registro fictício para testes
427704;Em transporte;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0024;Marcos;Patrus;Pedro;12/04/2026;20/04/2026;8;1;Registro fictício para testes
201255;Entregue;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0009;Ricardo;JSL;Gabriel;11/05/2026;19/05/2026;8;8;Registro fictício para testes
228168;Reagendada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0023;Ricardo;Patrus;Pedro;10/04/2026;22/04/2026;12;4;Registro fictício para testes
208633;Crítica;Obramax;45.991.011/0001-44;São Paulo;SP;RC0014;Marcos;Patrus;Fernanda;13/04/2026;20/04/2026;7;1;Registro fictício para testes
220465;Em transporte;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0037;Marcos;Patrus;Gabriel;12/03/2026;19/03/2026;7;9;Registro fictício para testes
683783;Faturada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0039;Ricardo;Tegma;Pedro;25/02/2026;09/03/2026;12;2;Registro fictício para testes
423993;Entregue;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0023;Marcos;Braspress;Fernanda;22/02/2026;08/03/2026;14;9;Registro fictício para testes
876962;Faturada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0006;Ricardo;Rodonaves;Fernanda;14/05/2026;18/05/2026;4;6;Registro fictício para testes
265055;Entregue;Carrefour;45.543.915/0001-81;Barueri;SP;RC0020;Ricardo;Tegma;Gabriel;25/03/2026;01/04/2026;7;9;Registro fictício para testes
265056;Faturada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0044;Marcos;Tegma;Amanda;16/05/2026;20/05/2026;4;10;Registro fictício para testes
563516;Reagendada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0018;Marcos;Rodonaves;Pedro;21/03/2026;01/04/2026;11;5;Registro fictício para testes
811163;Atrasada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0034;Ricardo;Tegma;Pedro;08/05/2026;14/05/2026;6;3;Registro fictício para testes
108060;Confirmada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0020;Marcos;Braspress;Bruno;07/03/2026;09/03/2026;2;4;Registro fictício para testes
621546;Reagendada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0012;Marcos;Patrus;Gabriel;07/05/2026;09/05/2026;2;3;Registro fictício para testes
